country,country_iso,core_city,uc_id,cc_avg_dir,cc_avg_undir,cc_wt_avg_dir,cc_wt_avg_undir,circuity,elev_iqr,elev_mean,elev_median,elev_range,elev_std,grade_mean,grade_median,intersect_count,intersect_count_clean,intersect_count_clean_topo,k_avg,length_mean,length_median,length_total,street_segment_count,node_count,orientation_entropy,orientation_order,pagerank_max,prop_4way,prop_3way,prop_deadend,self_loop_proportion,straightness,uc_names,world_region,world_subregion,resident_pop,area,built_up_area,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,8way_int_count,9way_int_count,7way_int_prop,8way_int_prop,9way_int_prop,10way_int_count,10way_int_prop,11way_int_count,11way_int_prop,12way_int_count,13way_int_count,14way_int_count,15way_int_count,16way_int_count,17way_int_count,18way_int_count,19way_int_count,20way_int_count,21way_int_count,22way_int_count,23way_int_count,24way_int_count,25way_int_count,26way_int_count,27way_int_count,28way_int_count,12way_int_prop,13way_int_prop,14way_int_prop,15way_int_prop,16way_int_prop,17way_int_prop,18way_int_prop,19way_int_prop,20way_int_prop,21way_int_prop,22way_int_prop,23way_int_prop,24way_int_prop,25way_int_prop,26way_int_prop,27way_int_prop,28way_int_prop,pop_density,prop_used_area,planned
czech_republic,CZE,pilsen,2886,0.0329126223559729,0.0442983934389392,0.0014176249495058,0.0017580248068045,1.0473107578042704,24.0,339.5402763734412,338.0,113.0,19.81593432553685,0.0317126582278481,0.018,2224,1935,1945,2.662622177283452,115.12470784810128,87.255,454742.596,3950,2967,3.549904554643247,0.0303630846232014,0.0011843896095641,0.18773171553758,0.5369059656218402,0.2504213009774182,0.0010126582278481,0.9548264376626292,Pilsen,Europe,Eastern Europe,142248,53.0,28.1243553162,2.689922480620155,105.49575151651456,79.07736817415852,27791.275611917168,16168.996262753892,743,47,1593,557.0,25.0,2.0,0.0158409167509268,0.0084260195483653,0.0006740815638692,0.00652457022082,0.8,0.6743787489288775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5057.822602534938,0.5306482135132076,0
algeria,DZA,boufarik,2096,0.0380607604646066,0.0507478632478632,0.0010953309916265,0.0012903228277938,1.0650796813570529,15.0,47.35897435897436,47.0,63.0,10.320046236503934,0.0216919642857142,0.011,516,427,428,2.871794871794872,127.00751339285712,79.3355,113798.732,896,624,2.73984590146274,0.620509683538931,0.0048385417841072,0.2275641025641025,0.5897435897435898,0.173076923076923,0.0022321428571428,0.9388968895978442,Boufarik,Africa,Northern Africa,58634,11.0,3.53272509575,2.889423076923077,176.63417987170732,146.06287950929644,55302.84800111865,32212.733489199058,108,3,368,142.0,1.0,2.0,0.0048076923076923,0.0016025641025641,0.0032051282051282,0.0054833651397802,0.7665056360708534,0.7607113985448666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16597.38542082963,0.3211568268863636,0
poland,POL,jelenia_gora,2979,0.0539227867009579,0.077108001435235,0.0025750571385063,0.0031620433431305,1.0490661254565694,11.0,344.1388589881593,343.0,64.0,9.5639345436546,0.0192048475371383,0.01,783,662,669,2.753498385360603,135.48497498045347,90.214,173285.283,1279,929,3.5639718366487854,0.017713395222374,0.0038959481972228,0.1248654467168998,0.689989235737352,0.1571582346609257,0.0015637216575449,0.9532287581631568,Jelenia Góra,Europe,Eastern Europe,58041,19.0,8.95885181427,2.814854682454252,103.69632395529229,87.39959274165108,34279.11269955793,19342.353974868125,146,16,641,116.0,10.0,0.0,0.0172228202368137,0.0107642626480086,0.0,0.0053611015541348,0.8619934282584885,0.6990664470071389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6478.62038610239,0.4715185165405263,0
ukraine,UKR,bila_tserkva,3518,0.0426665400119667,0.056990291262136,0.0013823306453508,0.0016121159295978,1.0601117363383457,15.0,162.86796116504854,162.0,38.0,9.456361987535518,0.0167572674418604,0.01,813,752,752,2.6718446601941745,178.2545101744186,117.526,245278.206,1376,1030,3.465404670651635,0.1046225193543155,0.0031692205838903,0.1572815533980582,0.629126213592233,0.2106796116504854,0.0007267441860465,0.9432967919532962,Bila Tserkva,Europe,Eastern Europe,207328,38.0,25.8293247223,2.7359223300970874,39.87715556151336,31.47585191408773,18219.393695325984,9496.113763602842,217,2,648,162.0,1.0,0.0,0.0019417475728155,0.0009708737864077,0.0,0.0041993131668616,0.8414396887159533,0.7532910775231594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8026.845541997516,0.6797190716394738,0
brazil,BRA,gurupi,1167,0.0253815668857208,0.0317592187727736,0.0016636562653592,0.0018563331331614,1.0106628399695223,19.0,299.62396152164405,298.0,79.0,14.792685272806995,0.0203612987012987,0.014,2212,1890,1891,3.3668561434193265,97.27182285714284,83.631,374496.518,3850,2287,3.184431726144782,0.3302745003148615,0.0011374056435076,0.4836029733275033,0.480104940970704,0.0327940533449934,0.0,0.989449656653208,Gurupi,Latin America and the Caribbean,South America,68284,21.0,7.35172986984,3.424136423261915,311.0832471391898,300.8815665377734,90280.0930870498,50939.9181730477,75,1,1098,1106.0,6.0,1.0,0.0004372540445999,0.0026235242675994,0.0004372540445999,0.0061068658587634,0.5131233595800525,0.9798554850010948,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9288.154109161536,0.3500823747542857,1
united_states,USA,newport_news,850,0.0296618595310226,0.039105129137868,0.0005270845206233,0.0006226307892102,1.0610260065128283,6.0,9.135867588213896,8.0,39.0,4.186283214357908,0.0141700854126034,0.008,8212,7196,7229,2.7044379774463443,146.8932540856816,103.691,2184155.795,14869,10996,3.5121039496343305,0.0639483206527929,0.0003794491274517,0.216715169152419,0.5224627137140778,0.2531829756275009,0.0065908938059049,0.9424839672748486,Newport News,Northern America,Northern America,312847,284.0,170.010238647,2.7155329210622043,64.67845753002851,48.30297319357894,21933.274817303667,12847.201511992836,2784,38,5745,2383.0,43.0,3.0,0.0034558021098581,0.0039105129137868,0.0002728264823572,0.0050344394045389,0.7783354626756708,0.7036191867098718,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840.165642315099,0.5986276008697183,0
united_states,USA,san_angelo,248,0.026103145392619,0.0289424860853432,0.0019924881088978,0.0021186586991963,1.0230989052262176,14.0,572.7977736549166,573.0,50.0,9.279796341210648,0.0121369275885404,0.009,2573,2461,2467,3.289795918367347,141.9864872546808,113.812,629426.098,4433,2695,2.997660788412488,0.4621765610416517,0.0008653754918505,0.4415584415584415,0.5098330241187384,0.0452690166975881,0.0006767426122264,0.9774226078160936,San Angelo,Northern America,Northern America,57491,48.0,31.6783180237,3.3565862708719854,85.07396124957603,81.22274667723902,36802.60379126745,19869.302957597003,122,1,1374,1190.0,8.0,0.0,0.0003710575139146,0.0029684601113172,0.0,0.0042816781963178,0.5553080920564217,1.0605610254504922,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1814.8375162149816,0.6599649588270834,1
myanmar,MMR,tatkon,10197,0.0121951219512195,0.0121951219512195,0.0006692137700269,0.0006692137700269,1.0176097729070916,6.0,150.79965156794424,151.0,18.0,3.5319434678705064,0.0117533783783783,0.009,497,479,479,3.0940766550522647,101.28519144144144,79.118,89941.25,888,574,2.934962222413146,0.5032159141617893,0.0038276923761082,0.4006968641114982,0.4651567944250871,0.1341463414634146,0.0,0.9826949648323596,Tatkon,Asia,South-Eastern Asia,68653,10.0,2.33867502213,3.132404181184669,245.4381196910449,212.51349387883155,76916.41561903196,38458.20780951599,77,0,267,230.0,0.0,0.0,0.0,0.0,0.0,0.0063819437688491,0.5993031358885017,1.05249343832021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29355.51085566081,0.2338675022129999,1
united_kingdom,GBR,larbert,1731,0.0307793824154329,0.0483224901135346,0.001783510295264,0.0021938164638243,1.072796079011162,23.0,31.88059701492537,28.0,121.0,25.50565761839829,0.0248019704433497,0.011,1770,1508,1511,2.330654420206659,78.33889819376026,56.573,238541.945,3045,2613,3.543973635433209,0.035671763686911,0.0012529013034106,0.0233448143895905,0.6498277841561424,0.322617680826636,0.00623973727422,0.932143600787336,Larbert; Stenhousemuir; Falkirk,Europe,Northern Europe,57678,22.0,12.4592914581,2.375047837734405,209.72300140721435,142.06265307721753,37152.60410727954,19145.707105593072,843,10,1698,61.0,1.0,0.0,0.0038270187523918,0.0003827018752391,0.0,0.0109540483540536,0.9761813292354976,0.5885406652566814,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4629.316217055228,0.5663314299136363,0
algeria,DZA,laghouat,2097,0.030839424573106,0.0382150486589129,0.0014267061573863,0.0015662635647302,1.03134656669696,11.0,769.7906479943033,767.0,50.0,7.699350491392793,0.0241205717837165,0.008,3958,2988,3017,3.055305008307619,66.36707970789311,49.7885,427138.525,6436,4213,3.411518094279074,0.15043400704578,0.0009754318952988,0.1986707809162117,0.74056491811061,0.0605269404225017,0.0009322560596643,0.9696061753544668,Laghouat,Africa,Northern Africa,154384,23.0,13.6690635681,3.077379539520532,308.2142371356026,289.5589723671292,54953.16634220681,31248.557947804784,255,1,3120,837.0,0.0,0.0,0.0002373605506764,0.0,0.0,0.0098633107374241,0.8012820512820513,0.8654234469651978,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11294.4093961412,0.5943071116565217,0
